name,weight_units,weight_max,price_min,price_max,count_max
Peje pluma,lbs,50.0,20.0,30.0,
Atún / Bonito,lbs,60.0,20.0,25.0,
Barracuda,kg,500.0,1.0,1000.0,500.0
Sierra,lbs,100.0,15.0,40.0,
Calale,lbs,200.0,25.0,60.0,150.0
Mantequilla,lbs,50.0,20.0,90.0,20.0
Robalo,lbs,200.0,25.0,50.0,
Blanco/Ronco,lbs,200.0,15.0,25.0,
Yalatel,lbs,400.0,25.0,60.0,150.0
Rojo,lbs,150.0,25.0,35.0,
Plectropomus laevis,kg,10.0,40000.0,110000.0,30.0
Caguacha,lbs,200.0,15.0,25.0,
Camarón,lbs,100.0,80.0,130.0,
Caracol,lbs,100.0,40.0,150.0,
Cubera,lbs,300.0,25.0,50.0,50.0
Culila,lbs,300.0,15.0,35.0,100.0
Jurel,lbs,3000.0,15.0,30.0,
KingCrab,lbs,100.0,30.0,150.0,
KingFish,lbs,100.0,20.0,50.0,10.0
Langosta,lbs,100.0,50.0,460.0,
Pargo,lbs,300.0,25.0,50.0,100.0
King Crab,lbs,10.0,30.0,50.0,
Pargo/Cubera,lbs,300.0,25.0,35.0,
Long Tail Queen Snapper,lbs,100.0,25.0,35.0,
Maya-maya,kg,6.0,100.0,160.0,10.0
Mangagat,kg,4.0,50.0,100.0,25.0
Plectropomus leopardus,kg,50.0,10000.0,400000.0,60.0
Plectropomus areolatus,kg,35.0,10000.0,450000.0,30.0
Mix Grouper 2,kg,10.0,20000.0,140000.0,30.0
Mix Grouper 1,kg,15.0,10000.0,30000.0,30.0
Cephalopholis miniata,kg,65.0,10000.0,400000.0,32.0
Cephalopholis argus,kg,10.0,15000.0,200000.0,30.0
Variola louti,kg,20.0,15000.0,200000.0,125.0
Plectropomus maculatus,kg,45.0,10000.0,250000.0,30.0
Variola albimarginata,kg,45.0,20000.0,100000.0,34.0
Siganus puellus,kg,10.0,20000.0,40000.0,30.0
Siganus guttatus,kg,30.0,5000.0,25000.0,100.0
Plectropomus oligacanthus,kg,25.0,10000.0,140000.0,30.0
Cromileptes altivelis,kg,10.0,20000.0,350000.0,30.0
Aethaloperca rogaa,kg,20.0,15000.0,110000.0,30.0
Lutjanus malabaricus,kg,35.0,3000.0,60000.0,80.0
Pinjalo lewisi,kg,35.0,25000.0,40000.0,30.0
Lutjanus vitta,kg,20.0,15000.0,60000.0,55.0
Lutjanus johnii,kg,35.0,25000.0,50000.0,35.0
Anyperodon leucogrammicus,kg,115.0,15000.0,80000.0,112.0
Cephalopholis cyanostigma,kg,10.0,15000.0,30000.0,40.0
Epinephelus ongus,kg,45.0,25000.0,140000.0,100.0
Nematalosa come,kg,15.0,10000.0,20000.0,200.0
Plotosus lineatus,kg,10.0,10000.0,50000.0,30.0
Ellochelon vaigiensis,kg,10.0,10000.0,20000.0,30.0
Upeneus moluccensis,kg,10.0,30000.0,40000.0,50.0
Upeneus sulphureus,kg,10.0,10000.0,40000.0,30.0
Upeneus vittatus,kg,10.0,10000.0,20000.0,30.0
Kyphosus cinerascens,kg,10.0,10000.0,15000.0,30.0
Kyphosus vaigiensis,kg,10.0,10000.0,20000.0,50.0
Choerodon anchorago,kg,10.0,10000.0,20000.0,30.0
Chlorurus capistratoides,kg,10.0,5000.0,30000.0,30.0
Leptoscarus vaigiensis,kg,10.0,20000.0,30000.0,30.0
Platax boersii,kg,10.0,5000.0,20000.0,50.0
Siganus canaliculatus,kg,110.0,5000.0,20000.0,470.0
Siganus javus,kg,60.0,10000.0,50000.0,120.0
Siganus punctatus,kg,30.0,5000.0,50000.0,150.0
Siganus spinus,kg,10.0,15000.0,30000.0,30.0
Siganus virgatus,kg,10.0,10000.0,20000.0,30.0
Acanthurus mata,kg,170.0,5000.0,40000.0,150.0
Acanthurus triostegus,kg,10.0,25000.0,40000.0,50.0
Naso annulatus,kg,10.0,15000.0,30000.0,50.0
Sphyraena barracuda,kg,10.0,10000.0,30000.0,30.0
Rastrelliger kanagurta,kg,10.0,1000.0,30000.0,500.0
Diodon holocanthus,kg,10.0,10000.0,40000.0,30.0
Diodon hystrix,kg,20.0,5000.0,20000.0,30.0
Hemiramphus far,kg,300.0,5000.0,20000.0,1000.0
Ablennes hians,kg,100.0,10000.0,50000.0,30.0
Hyporhamphus dussumieri,kg,20.0,10000.0,20000.0,420.0
Myripristis berndti,kg,15.0,35000.0,50000.0,30.0
Myripristis chryseres,kg,15.0,10000.0,20000.0,30.0
Neoniphon sammara,kg,10.0,20000.0,30000.0,50.0
Sargocentron punctatissimum,kg,15.0,20000.0,30000.0,48.0
