"id","name","image","label","notes","collect_weight","weight_units","weight_si","collect_count","collect_volume","volume_units","volume_si","collect_category","buyer_id","range_id","order","fishbase_type_id","gear_type_id","count_max","count_min","price_max","price_min","weight_max","weight_min"
12,"Box Plus","buyingunit/box_plus-01.jpg","","a box of fish containing high value species",False,"",NULL,False,True,"box","84",False,3,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,"Box","buyingunit/box.jpg","","A regular box of fish containing no high value species",False,"",NULL,False,True,"box","84",False,3,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,"Basket","buyingunit/basket_wide.jpg","","A basket of loose fish bought in bulk",False,"",NULL,False,True,"basket","21",False,3,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,"sailfish","buyingunit/SAM_2680-1.jpg","","",True,"viss","1.6",False,False,"",NULL,False,3,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,"yellowfin tuna","buyingunit/yellowfin-01.jpg","","",True,"viss","1.6",False,False,"",NULL,False,3,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,"Mobula","buyingunit/4_M_japanica1.jpg","","Rays are assessed by size and paid for individually. They are not directly weighed.
( Started collecting the number of catches from 28 June)",True,"viss","1.6",True,False,"",NULL,False,3,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,"cownose ray","buyingunit/2_cownose.jpg","","Rays are assessed by size and paid for individually. They are not directly weighed.
( Started collecting the number of catches from 28 June)",True,"viss","1.6",True,False,"",NULL,False,3,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,"mahi-mahi","buyingunit/Shan_Dar.JPG","","Dolphin Fish, Mahi Mahi, El dorado",True,"viss","1.6",False,False,"",NULL,False,3,NULL,10,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL
20,"bullet tuna","buyingunit/6_Nga_Me_Lone.jpg","","",True,"viss","1.6",False,False,"",NULL,False,3,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,"Skipjack Tuna","buyingunit/nga_mellone_takhurtee-01.jpg","","",True,"viss","1.6",False,False,"",NULL,False,3,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
