name,id,weight_units,weight_max,price_min,price_max,count_max
Box Plus,"0    12
Name: id, dtype: int64",kg,,,,
Box,"1    13
Name: id, dtype: int64",kg,,,,
Basket,"2    14
Name: id, dtype: int64",kg,,,,
sailfish,"3      15
78    120
Name: id, dtype: int64",kg,,,,
yellowfin tuna,"4    16
Name: id, dtype: int64",viss,,,,
Mobula,"5         17
222      266
261      309
1332    1823
Name: id, dtype: int64",kg,,,,
cownose ray,"6         18
221      265
260      308
1331    1822
Name: id, dtype: int64",kg,,,,
mahi-mahi,"7         19
77       119
170      214
1321    1812
Name: id, dtype: int64",kg,,,,
bullet tuna,"8       20
337    413
Name: id, dtype: int64",viss,,,,
Skipjack Tuna,"9         21
238      286
5502    7426
5783    7711
Name: id, dtype: int64",kg,,,,
Indian Threadfin,"10        22
25        37
106      149
119      162
139      182
1297    1788
Name: id, dtype: int64",kg,,,,
squid,"11    23
Name: id, dtype: int64",kg,,,,
narrow-barred Spanish mackerel,"12        24
21        33
159      202
171      215
182      226
1322    1813
Name: id, dtype: int64",kg,,,,
Tongue Sole,"13        25
105      148
115      158
116      159
468      653
1282    1773
Name: id, dtype: int64",kg,,,,
Sharpnose Stingray,"14        26
16        28
125      168
177      221
194      238
1327    1818
Name: id, dtype: int64",kg,,,,
Late Kyauk Sa Mat,"15        27
156      199
193      237
460      645
1313    1804
1524    2619
1591    2947
Name: id, dtype: int64",kg,,,,
Barred Needle Fish,"17      29
76     118
363    441
Name: id, dtype: int64",kg,,,,
"black king, crab eater","18        30
64       106
141      184
200      244
210      254
1299    1790
Name: id, dtype: int64",kg,,,,
orange spotted grouper,"19        31
135      178
183      227
280      349
463      648
1293    1784
Name: id, dtype: int64",kg,,,,
Barramundi,"20        32
97       140
137      180
197      241
1295    1786
Name: id, dtype: int64",kg,,,,
torpedo scad,"22        34
291      360
354      432
1338    1829
Name: id, dtype: int64",kg,,,,
Kanadi kingfish,"23        35
61        91
109      152
130      173
181      225
1288    1779
Name: id, dtype: int64",kg,,,,
